CODICE ESERCIZIO,tipo,provincia,comune,categoria,tipologia,denominazione,localita,frazione,indirizzo,cap,telefono,cellulare,fax,email,sito,n_camere,n_posti_letto,n_bagni,periodo_apertura,varie_centro_abitato,varie_zona_aereoporto,varie_zona_stazione_ff_ss,varie_in_campagna,varie_sul_mare,varie_sul_lago,varie_sul_fiume,varie_zona_imp_risalita,varie_interesse_storico,varie_villa,varie_castello,accessibile,ascensore,ristorante,ristorante_convenzionato,ristorante_vegetariano,tavola_calda,bar,giochi_bambini,sala_lettura,sala_tv,sala_tv_comune,parco_giardino,animali_domestici,servizio_congressi,servizio_congressi_min,servizio_congressi_max,accettazione_gruppi,accesso_mezzi_pubblici,accesso_mezzi_privati,parcheggio_non_custodito,garage,trasporto_clienti,pulizia_calzature,lavatura_stiratura,baby_sitting,altri_impianti_servizi,custodia_valori_cassaforte,custodia_val_cassetta_sicur,vasca_idromassaggio,doccia_idromassaggio,doccia_sauna,sauna_privata,palestra,impianti_termali,centro_benessere,spiaggia_riservata,discoteca,postazioni_internet,tv_satellitare,aria_condizionata,lingua_inglese,lingua_francese,lingua_spagnola,lingua_tedesca,altre_lingue,tennis,piscina_coperta,piscina_scoperta,golf,equitazione,vela,windsurf,sub,ricarica_bombole_sub,sci_nautico,sci_montano,ormeggio,altri_impianti_sportivi,american_express,carta_si,diners,eurocard_mastercard,jcb,visa,bancomat_pos,cirrus,maestro,altre_carte_credito
18,Alberghi,UDINE,VERZEGNIS,1 Stella *,Casa principale,AL QUADRIFOGLIO,-,CHIAULIS,"VIA CELLA, 12",33020,0433 2786,-,-,info@albergoalquadrifoglio.it,http://www.albergoalquadrifoglio.it,7,14,7,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,NO,SI,NO,NO,NO,SI,NO,SI,NO,NO,NO,SI,NO,0,0,NO,SI,SI,SI,NO,NO,NO,SI,SI,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,SI,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,SI,SI,-
21,Alberghi,UDINE,CERVIGNANO DEL FRIULI,3 Stelle ***,Casa principale,FORUM JULII,STRASSOLDO,-,"VIA CISIS, 31",33050,0431 93397,-,0431 939813,info@forumjulii.it,http://www.forumjulii.it,57,113,57,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,0,0,SI,NO,NO,NO,NO,NO,SI,SI,NO,-,NO,NO,SI,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
24,Alberghi,UDINE,FLAIBANO,3 Stelle ***,Casa principale,RISTOLOCANDA GRANI DI PEPE,-,-,"VIA CAVOUR, 44",33030,0432 869356,348 4787874,0432 869356,info@granidipepe.com,http://www.granidipepe.com,7,16,8,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,SI,10,24,NO,NO,NO,SI,NO,SI,NO,NO,NO,-,SI,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,NO,SI,NO,NO,SI,NO,NO,NO,-
25,Alberghi,UDINE,LATISANA,1 Stella *,Dipendenza,CIGNO (DIP. 2),-,-,"VIA DIETRO CHIESA, 22",33053,0431 59112,-,0431 59911,info@hotelcigno.it,http://www.hotelcigno.it,10,24,10,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,0,0,SI,NO,SI,SI,NO,NO,NO,NO,NO,Accessibilità diversamente abili,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,-
26,Alberghi,TRIESTE,TRIESTE,4 Stelle ****,Casa principale,HOTEL MIRAMARE,-,BARCOLA,"VIALE MIRAMARE, 325/1",34136,040 2247085,-,040 2247086,info@hotelmiramaretrieste.it,http://www.hotelmiramaretrieste.it,32,47,32,01.I - 16.XI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,0,0,NO,NO,NO,SI,NO,NO,NO,SI,NO,-,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
28,Alberghi,UDINE,TARVISIO,3 Stelle ***,Casa principale,HABERL,-,-,"VIA KUGY, 1",33018,0428 2312 - 2233,3452978667,0428 644442,albergohaberl@libero.it,http://www.hotelhaberl.com,30,70,30,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,SI,NO,NO,NO,SI,NO,SI,SI,NO,SI,SI,NO,0,0,SI,NO,SI,SI,NO,SI,NO,NO,NO,-,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,SI,SI,SI,SI,SI,-
30,Alberghi,UDINE,MORTEGLIANO,3 Stelle ***,Casa principale,DA NANDO,-,-,"VIALE DIVISIONE JULIA, 10",33050,0432 826746,-,0432 826740,info@danando.it,http://www.danando.it,12,34,12,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,NO,NO,SI,NO,SI,NO,NO,SI,NO,SI,12,50,SI,SI,SI,SI,NO,NO,SI,SI,NO,-,NO,SI,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,NO,NO,SI,SI,NO,NO,-
31,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,ANAPAYA,PINETA,-,"VIA ARCO DEL LIBECCIO, 40",33054,0431 422116,335 7588806,0431 420740,info@anapaya.it,http://www.anapaya.it,25,48,25,01.V - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,0,0,NO,SI,NO,SI,NO,NO,NO,NO,NO,-,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,SI,SI,SI,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,SI,NO,SI,SI,SI,SI,-
32,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Casa principale,GAMBRINUS,SABBIADORO,-,"VIA LATISANA, 184",33054,0431 71836,346 5936308,0431 70366,info@hotelgambrinus.eu,http://www.hotelgambrinus.eu,30,61,30,01.V - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,NO,0,0,SI,NO,SI,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,SI,NO,SI,SI,NO,SI,-
33,Alberghi,UDINE,TOLMEZZO,3 Stelle ***,Casa principale,ALBERGO ROMA,-,-,"PIAZZA XX SETTEMBRE, 14",33028,0433 468031,-,0433 468031,info@albergoromatolmezzo.it,http://www.albergoromatolmezzo.it,15,25,15,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,SI,SI,12,50,SI,NO,SI,SI,NO,NO,NO,SI,NO,-,NO,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,SI,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,SI,SI,SI,SI,SI,SI,-
35,Alberghi,GORIZIA,GORIZIA,1 Stella *,Casa principale,ISONZO,-,-,"STRADONE DELLA MAINIZZA, 207",34170,0481 393072,-,0481 390966,,,9,19,9,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,0,0,NO,NO,NO,SI,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
37,Alberghi,UDINE,UDINE,2 Stelle **,Dipendenza,RAMANDOLO (DIPENDENZA),-,-,"PIAZZA CHIAVRIS, 26",33100,0432 470994,-,0432 479835,info@hotelramandolo.it,http://www.hotelramandolo.it,10,17,10,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,0,0,NO,NO,SI,SI,SI,NO,NO,NO,NO,"LAVANDERIA A GETTONE,  BAR AUTOMATICO",NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
38,Alberghi,TRIESTE,MUGGIA,1 Stella *,Casa principale,LA BUSSOLA,-,-,"VIA MANZONI, 5",34015,040 9277278,334 6139662,040 9277278,info@labussoladimuggia.it,http://www.labussoladimuggia.it,8,20,8,01.I - 31.XII,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,0,0,SI,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,SI,SI,-
40,Alberghi,UDINE,UDINE,3 Stelle ***,Dipendenza,CLOCCHIATTI (DIPENDENZA),-,-,"VIA CIVIDALE, 29",33100,0432 505047,348 5295200,0432 505047,info@hotelclocchiattinext.it,http://www.hotelclocchiattinext.it,14,46,14,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,SI,SI,NO,0,0,SI,NO,SI,SI,NO,NO,NO,SI,NO,sky tv,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,NO,NO,NO,NO,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,biciclette,NO,NO,NO,NO,NO,NO,NO,NO,NO,-
41,Alberghi,UDINE,LIGNANO SABBIADORO,3 Stelle ***,Dipendenza,ROSSINI (DIPENDENZA),SABBIADORO,-,"VIA ADRIATICA, 44/A",33054,0431 71530,-,0431 720720,info@hotelrossini.com,http://www.hotelrossini.com,12,24,12,01.IV - 30.IX,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,0,0,SI,NO,NO,NO,SI,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,BICICLETTE  AREA FITNESS CARDIO,NO,SI,SI,SI,SI,SI,SI,NO,SI,-
43,Alberghi,PORDENONE,SESTO AL REGHENA,3 Stelle ***,Casa principale,LA PERLA,-,RAMUSCELLO,"VIA IPPOLITO NIEVO, 4/5",33070,0434 690011 - 684004,-,0434 690756,info@albergolaperla.com,http://www.albergolaperla.com,21,37,21,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Con difficoltà,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,NO,-
45,Alberghi,UDINE,MORTEGLIANO,1 Stella *,Casa principale,ALLA BLAVE DI MORTEAN,-,-,"VIA UDINE, 24",33050,-,-,-,,,7,14,7,01.I - 31.XII,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,-
46,Alberghi,UDINE,TARVISIO,2 Stelle **,Dipendenza,AL SOLE (DIPENDENZA),FUSINE,-,"VIA CAVOUR, 67",33018,0428   61017,-,0428  651935,info@albergoalsole.net,http://www.albergoalsole.net,10,24,10,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Non accessibile,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,0,0,NO,SI,SI,SI,NO,NO,NO,NO,NO,ACCESSO INTERNET WI FI   IN TUTTA LA STRUTTURA,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
47,Alberghi,TRIESTE,MUGGIA,3 Stelle ***,Casa principale,PARK HOTEL,-,-,"VIA DEI BONOMO, 1",34015,040 272266,392 1811978,040 9278778,info@parkhotelmuggia.it,http://www.parkhotelmuggia.it,18,24,18,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,SI,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,SI,0,0,SI,NO,SI,SI,NO,NO,NO,NO,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,SI,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,NO,SI,SI,SI,SI,SI,SI,-
48,Alberghi,PORDENONE,PRATA DI PORDENONE,3 Stelle ***,Casa principale,HOTEL DALL'ONGARO,-,GHIRANO,"PIAZZA G. MAZZINI, 41",33080,0434 622234,-,0434 622496,info@albergodallongaro.it,http://www.albergodallongaro.it,37,76,37,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Accessibile,SI,NO,SI,NO,NO,SI,NO,SI,NO,NO,NO,NO,SI,12,80,SI,SI,SI,SI,NO,NO,NO,SI,NO,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,NO,SI,SI,NO,SI,-
52,Alberghi,PORDENONE,BUDOIA,4 Stelle ****,Casa principale,CIASA DE GAHJA,-,-,"VIA ANZOLET, 13",33070,0434 654897,-,-,info@ciasadegahja.com,http://www.ciasadegahja.it,16,25,16,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,Con difficoltà,NO,SI,NO,NO,NO,SI,SI,SI,SI,SI,SI,SI,SI,20,30,SI,NO,SI,SI,NO,NO,SI,SI,SI,-,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,SI,NO,SI,-,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,NO,NO,SI,SI,NO,SI,-
54,Alberghi,TRIESTE,TRIESTE,3 Stelle ***,Casa principale,ALLA POSTA,-,-,"PIAZZA OBERDAN, 1",34122,040  365208,-,040  633720,info@albergopostatrieste.it,http://www.albergopostatrieste.it,47,77,47,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Non accessibile,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,SI,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,SI,SI,SI,SI,SI,SI,SI,NO,SI,-
55,Alberghi,PORDENONE,AZZANO DECIMO,3 Stelle ***,Casa principale,AL PORTICO,-,-,"VIA ZUIANO, 14",33082,0434 640218 - 640185,-,0434 420978,info@albergoalportico.com,http://www.albergoalportico.com,16,33,17,01.I - 31.XII,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Accessibile,NO,SI,NO,NO,NO,SI,NO,SI,NO,NO,SI,NO,NO,0,0,SI,SI,SI,SI,NO,NO,NO,SI,NO,"TERRAZZE, PORTICATO",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,-,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,SI,NO,SI,NO,SI,SI,NO,SI,-
